gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"STC1",11.4165320758827,0.989756183475736,1.82247554894413e-16,2.87750664422789e-12,1,1
"CEMIP",13.0555113737664,0.640213734687558,4.66776675037016e-14,3.68496846107972e-10,2,1
"THBS1",16.8693329306905,0.308422559204349,7.5847794038914e-14,3.99186940026805e-10,3,1
"AMOTL2",11.0195740112908,0.775144191209293,1.09124116188618e-13,4.19432455508379e-10,4,1
"CXCL8",7.47172395085973,1.6209255422841,1.32824262305523e-13,4.19432455508379e-10,5,1
"CCN1",12.2553049837615,0.572775276902574,6.67287573911373e-13,1.75596725074778e-09,6,1
"FGF7",10.4062943956262,0.848967556185311,8.85878078800836e-13,1.99816128374092e-09,7,1
"IL11",7.17952762948618,1.4499495497761,3.51119906601001e-12,6.929790256654e-09,8,1
"PTGS2",8.36074780646105,0.964738824136852,1.05242695638538e-11,1.84630769048541e-08,9,1
"SGK1",9.41058689738821,0.598729755594292,1.92291403048366e-11,3.03608896273065e-08,10,1
"VGLL3",10.5629947943385,0.480422270056518,5.21942044691703e-11,7.49176631239754e-08,11,1
"LIF",7.71602177763794,1.07900594307793,7.24103976584196e-11,9.52739807190656e-08,12,1
"DUSP1",8.69100374268771,0.541967888310044,2.22299869641296e-10,2.6999174167434e-07,13,1
"MEDAG",7.67389425753019,0.787434293082687,3.07992048671224e-10,3.47349032604997e-07,14,1
"NR4A1",6.37717707296179,1.23674900636848,4.98752261858075e-10,5.24986630831809e-07,15,1
"INHBA",11.1703317740756,0.406358507242189,7.82563552412148e-10,7.72243495564713e-07,16,1
"ERRFI1",10.0383912704352,0.490203441138847,9.12341779613886e-10,8.47350844607274e-07,17,1
"CHMP1B",9.45889577287844,0.439397419460068,1.27897942377417e-09,1.12187811788724e-06,18,1
"HS3ST3B1",8.92408778299645,0.515646175278137,3.49849883931763e-09,2.90725253547295e-06,19,1
"FOSL2",10.3727237973704,0.346153744491234,3.94852535591162e-09,2.99046739899884e-06,20,1
"RCAN1",9.1709628210827,0.467390041969814,3.99206142968413e-09,2.99046739899884e-06,21,1
"E2F7",10.209092634162,-0.365314966965153,4.16684291455915e-09,2.99046739899884e-06,22,1
"SAMD4A",9.68315637003886,0.34511740563169,5.38419213492588e-09,3.69613085297151e-06,23,1
"ARNT2",9.39118724327291,0.394213494809463,5.63517983026014e-09,3.70724393083239e-06,24,1
"NFKB2",8.85652275316855,0.391913760975145,6.1151471700114e-09,3.8620823466924e-06,25,1
"PDE7B",7.57460552834777,0.795169607118381,7.3015059961402e-09,4.39370860630443e-06,26,1
"SDC4",11.6748844067312,0.304761696795691,7.51346712079421e-09,4.39370860630443e-06,27,1
"IL1B",5.22486183850565,1.84306279377982,1.09250934209319e-08,6.1605821436819e-06,28,1
"DRAM1",9.98809366724229,0.307399248726988,1.33781588166367e-08,7.28371550192678e-06,29,1
"MAP2K3",10.4740183444284,0.318044864384481,1.5740981689841e-08,7.98150243508385e-06,30,1
"SLC16A6",10.5360908016802,0.317732936198546,1.57658841578838e-08,7.98150243508385e-06,31,1
"KCNK6",7.68706815931156,0.592511217187075,1.617633022501e-08,7.98150243508385e-06,32,1
"AFAP1",10.0901730402075,0.279436097030381,1.75353087484172e-08,8.38984817662909e-06,33,1
"ITPRIPL2",11.239393097283,0.303968145992119,2.70334623146387e-08,1.25538628378186e-05,34,1
"SOD2",11.7337399618176,0.348906456468157,2.88738516042138e-08,1.30254069422552e-05,35,1
"EREG",8.61589333538329,0.593264195445492,3.84607804088653e-08,1.68682572743215e-05,36,1
"ACSL4",11.1543384948571,0.271825665314053,4.1223766771058e-08,1.7591406852655e-05,37,1
"RIN2",10.8716637049941,0.348088455799695,4.98172070687719e-08,2.06990495370747e-05,38,1
"ARID5B",10.0116853317412,0.268409880737911,5.20429226220999e-08,2.10693770584701e-05,39,1
"KCNJ2",8.3610919063337,0.441810132355712,5.52315154788367e-08,2.18012599473838e-05,40,1
"TM4SF1",8.23464085946529,0.567783137835632,6.68590722653238e-08,2.55363211450272e-05,41,1
"STXBP5",10.1444872044451,0.283785577613427,6.79286521053355e-08,2.55363211450272e-05,42,1
"HMOX1",12.8489260836,-0.451116297179576,7.41513061422193e-08,2.72273249460349e-05,43,1
"FST",8.47579674600636,0.434066282287748,8.11889802067941e-08,2.91339274655698e-05,44,1
"LIMA1",10.8376548261616,0.29382076381688,8.78403783615404e-08,3.08202607544525e-05,45,1
"ACKR3",7.74926521662203,0.686626592932751,9.77034961924245e-08,3.32936059481277e-05,46,1
"NPC1",10.6723361427821,0.281552279450585,9.91069402471342e-08,3.32936059481277e-05,47,1
"TXNRD1",12.0235467129394,0.266726666074833,1.06778608205067e-07,3.50555344248123e-05,48,1
"AMPD3",8.94867798089646,0.327622592924145,1.08792272266502e-07,3.50555344248123e-05,49,1
"PDE4D",6.98920641610702,0.644071346531452,1.47198462022032e-07,4.64823303373171e-05,50,1
"BNIP3L",10.727060543804,0.256873163724231,1.59530457214597e-07,4.93887527247308e-05,51,1
"FAM107B",7.43874511371632,0.640186719029016,1.80472867481579e-07,5.47978097051279e-05,52,1
"EDNRB",5.65077880685145,1.12266433898425,1.86134157720346e-07,5.54504191744632e-05,53,1
"IGF1R",9.76177679824494,0.348867592865128,1.91716426442453e-07,5.60557529092571e-05,54,1
"NNMT",10.1014814831587,0.331270599137945,2.09111937316342e-07,6.00303341506858e-05,55,1
"ATP8B1",10.1553849938414,0.325579182287596,2.74133504486441e-07,7.72909625417216e-05,56,1
"AK4",7.26794230680054,0.561851025828253,3.16786335940665e-07,8.77498150555643e-05,57,1
"HDAC5",9.62868594464423,0.314749291853415,3.23336739976998e-07,8.80200653016692e-05,58,1
"TNFRSF11B",10.2924963237315,0.360534442958544,3.55738362682516e-07,9.51992035321058e-05,59,1
"CUL4B",10.2553988316092,0.252277649639359,3.83211093700012e-07,0.000100841999307158,60,1
"FAM180A",10.6845179790154,0.327480926556726,4.03324460926799e-07,0.000103380528452933,61,1
"RORA",8.32234506270319,0.450281483779122,4.11912321615105e-07,0.000103380528452933,62,1
"CHAC1",5.92453335565206,-1.03607058542386,4.1250068354771e-07,0.000103380528452933,63,1
"SERPINB2",11.5462404401976,0.238149157801244,4.24078678419104e-07,0.000104621535211863,64,1
"ICAM1",7.14459699656297,0.639616166824291,5.55733407556702e-07,0.000134991919567889,65,1
"GPR176",10.3204675352778,0.289150809389689,6.48047050824614e-07,0.000155030528567725,66,1
"GRAMD1B",8.05740097516592,0.501795878530696,6.65166891564821e-07,0.000156751045536074,67,1
"ATP2A2",12.6442462002248,0.202156479483326,7.06252598026034e-07,0.000163985621621074,68,1
"IL4R",9.63225083330079,0.214360139832888,7.24920347534194e-07,0.000165880686481412,69,1
"ID2",9.42375799435134,-0.338270706087679,8.24100129940676e-07,0.000184020442210438,70,1
"NFIL3",8.38238210083462,0.361333041326425,8.35400085032207e-07,0.000184020442210438,71,1
"WWC3",8.88585915076488,0.266752838973629,8.39158391231336e-07,0.000184020442210438,72,1
"PDE4B",6.86533717007609,0.664931062676215,8.53298328413786e-07,0.000184557908319524,73,1
"SPRY2",10.2160046671358,0.228610746116367,9.21627657651506e-07,0.000194216185953666,74,1
"GNG2",8.3802559990357,-0.353290560871923,9.22873334627887e-07,0.000194216185953666,75,1
"POU2F2",9.85314415530853,0.23543702014257,9.34855287382265e-07,0.000194216185953666,76,1
"ANGPTL4",8.08080215907496,0.546925901973109,1.06814087853803e-06,0.000217523550854549,77,1
"PLAUR",10.60945232202,0.241138513946471,1.07459857917885e-06,0.000217523550854549,78,1
"RGS4",9.21900191731789,0.28054424139164,1.10077278761049e-06,0.000219865568112307,79,1
"ZNF395",8.83980327275157,0.336623040195011,1.11401896567132e-06,0.000219865568112307,80,1
"EGLN1",8.76500641022417,0.317773812636146,1.15150491118977e-06,0.000224458161021917,81,1
"RIPOR2",5.09749208918674,1.14037093562983,1.2539602621241e-06,0.000241448519252164,82,1
"FBXO32",11.4645752206428,0.206280525114961,1.28883310272754e-06,0.00024517332360199,83,1
"RASA1",9.56001547909191,0.241423958427736,1.36409553347824e-06,0.000253933587106773,84,1
"CBLB",9.7404288584571,0.264202970069702,1.3899841374472e-06,0.000253933587106773,85,1
"OXSR1",10.1111004771193,0.236323973727755,1.39326529222926e-06,0.000253933587106773,86,1
"CXCL1",7.60562298118858,1.14237503397256,1.39973571726207e-06,0.000253933587106773,87,1
"GRAMD2B",9.08674893425316,0.339813584617476,1.41529898444461e-06,0.000253933587106773,88,1
"DDAH1",11.432338400694,0.234664933063144,1.46867713751539e-06,0.000259581434363996,89,1
"RABGGTA",4.06057633277556,-2.75066348275534,1.47965856563175e-06,0.000259581434363996,90,1
"FRMD8",9.78836252742352,0.319536664207385,1.56895104296634e-06,0.000272130563620011,91,1
"NREP",9.9383604941191,0.220446943090346,1.58566165387555e-06,0.000272130563620011,92,1
"CPED1",10.3243619098339,0.235478243473596,1.64169158935116e-06,0.000278716865637263,93,1
"SWAP70",10.4849576257956,0.199836777675102,1.68099689371615e-06,0.00028235382930728,94,1
"PCDH18",11.6224149389624,0.244658436173385,1.69949071753643e-06,0.000282455357254555,95,1
"SERPINB8",9.66142845356629,0.214829677196596,1.72373819882699e-06,0.000282463906333662,96,1
"PIK3CA",9.08896724297225,0.257557858313177,1.73532199090285e-06,0.000282463906333662,97,1
"NCOA3",11.1349734906361,0.219821554558754,1.8997432518747e-06,0.000306071900039282,98,1
"SH3RF1",9.10288105175788,0.253990878178589,2.00453669672302e-06,0.000319693231359189,99,1
"ATP10D",9.64430073142574,0.246469429563433,2.03724170772975e-06,0.00032166009323345,100,1
"PTGER2",6.98746331346994,0.533329088941388,2.13698471156341e-06,0.000330891223995986,101,1
"ZNF281",9.30319229936346,0.272409848010755,2.13762143565714e-06,0.000330891223995986,102,1
"FRMD6",13.3569620500332,0.174932978560692,2.17571507712976e-06,0.000333518110221377,103,1
"AGO2",10.3366999392799,0.255328789986196,2.23590594361107e-06,0.000339129940867586,104,1
"ADAMTS6",8.31707163378412,0.327755589808419,2.2552817652224e-06,0.000339129940867586,105,1
"CSRNP1",7.55197924688882,0.486540996244542,2.33060169018942e-06,0.000347149717796234,106,1
"SLC39A10",9.73160635466037,0.273632794614155,2.3777795976461e-06,0.00035013089628349,107,1
"TTPAL",9.10612911947581,-0.219299852649117,2.39496717959446e-06,0.00035013089628349,108,1
"PLAU",11.2326441060267,0.208379126813782,2.449239968102e-06,0.000354780273911583,109,1
"TRIO",11.2094186935689,0.241601799667956,2.4855514778348e-06,0.000356767020759397,110,1
"PTPN14",11.8044867733372,0.203926029529601,2.52580494549772e-06,0.000359278687247419,111,1
"GPAM",8.7333235285352,-0.311711458561948,2.71515709033799e-06,0.000382764422315595,112,1
"MCL1",11.8159965689707,0.185138265210213,2.81119506089544e-06,0.000392796095721046,113,1
"SLC4A7",10.5984202771579,0.215818267017891,2.96793723791857e-06,0.000409731960755325,114,1
"ITPRIP",10.3625679511223,0.242878128457699,2.98430397662058e-06,0.000409731960755325,115,1
"HBEGF",7.20705392756937,0.548114327123621,3.12191011687882e-06,0.000424929645132756,116,1
"ACTG1",15.1294065957745,0.136740436732122,3.22445968377551e-06,0.000435136700402834,117,1
"ABHD17C",7.7349810283053,0.439439831288472,3.30689291007085e-06,0.000442479086077192,118,1
"JCAD",11.141099593535,0.214020837856555,3.42642939931319e-06,0.000454620956182823,119,1
"DENND3",7.59003171169881,0.441720466962718,3.50966589780954e-06,0.00046178429050429,120,1
"TFPI2",9.4120193753782,0.262917400362184,3.72392214504672e-06,0.000485925675604485,121,1
"RALGPS2",9.78097943590335,0.218280066512291,3.7732514180762e-06,0.000488326775737747,122,1
"ABCA1",8.94436916676318,0.327970320533638,3.95897255693083e-06,0.000508196891881145,123,1
"BNIP3",8.96422789544814,0.243457673837122,3.99339697520593e-06,0.000508481813238116,124,1
"LRRC8A",10.4082642605057,0.245221458947931,4.03094957738824e-06,0.000509157303019063,125,1
"PIK3CD",9.31100785921255,0.320849387752382,4.41128574859671e-06,0.00055157358463417,126,1
"LMOD1",6.35811902716407,0.695226003725169,4.46789027631605e-06,0.00055157358463417,127,1
"DYRK3",9.13341442011149,-0.26239154346003,4.4759572555299e-06,0.00055157358463417,128,1
"DHCR24",9.63324307669249,-0.249405334472248,4.5064913812026e-06,0.00055157358463417,129,1
"LGR4",9.0724630778696,-0.30782806035449,4.56937930498117e-06,0.000552235294374497,130,1
"NOP56",10.1697469302219,-0.184750985459777,4.58184961448218e-06,0.000552235294374497,131,1
"PDCD1LG2",9.1997582005594,0.306166038687884,4.63162204878231e-06,0.000554005155516847,132,1
"AMD1",10.4251306892097,-0.223917654497232,4.79766980946816e-06,0.000569551944524006,133,1
"RASA2",9.10260817616241,0.257175736847442,5.04975950045231e-06,0.00059500487128837,134,1
"FAT4",9.75124213225367,0.202210837737594,5.20572754532555e-06,0.000608838757134408,135,1
"MYO1E",10.6863196215023,0.194811315535951,5.40624360941253e-06,0.000627641031978048,136,1
"FOXN3",10.1844781200536,0.202521113932486,5.56769131630192e-06,0.000641666264183146,137,1
"IL1R1",11.1989444144995,0.223860681565704,6.05769031330915e-06,0.000693078785194479,138,1
"NEFM",8.51063475748376,0.445120830847507,6.23258874014432e-06,0.00070329896894569,139,1
"ACKR4",9.31618325546781,0.300913832797237,6.25039182017334e-06,0.00070329896894569,140,1
"SLC2A1",8.47286763805501,0.403088037516921,6.28064821213137e-06,0.00070329896894569,141,1
"KCTD10",10.5336295763607,0.19526950517014,6.38230034544408e-06,0.000709648874325469,142,1
"ZBTB38",11.2976823878305,0.197096859184057,6.73618181999198e-06,0.000743759264026947,143,1
"SH3BP4",11.5896231964579,0.184349386264811,6.84699642339898e-06,0.000750744628673934,144,1
"IL6",3.92638766722439,1.51033215719643,6.99115761059853e-06,0.000761264741474071,145,1
"PPIF",9.78908464219466,0.274288156107666,7.06483262831838e-06,0.000764018098414513,146,1
"SEMA3C",11.3094786664958,0.199211725011468,7.1240600692342e-06,0.000765182207028155,147,1
