gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"CXCL8",9.30568116745424,1.22942430874513,1.11425770701811e-14,1.77924670656652e-10,1,1
"NR4A1",9.21485520365767,1.59583337438122,4.00766826387906e-14,1.90869676318718e-10,2,1
"ARID5B",9.74992598035642,0.769049607236941,4.72028905193718e-14,1.90869676318718e-10,3,1
"PTGS2",9.15071186303418,0.881165157056349,4.78130451700196e-14,1.90869676318718e-10,4,1
"SGK1",9.69929106928882,0.673069599261725,1.42998110931039e-12,4.56678767069367e-09,5,1
"NR4A3",6.46824201037727,1.89661110052349,4.65041564138478e-12,1.2376306160272e-08,6,1
"CITED2",10.4629443200985,0.622209116641647,5.77254904219926e-12,1.31680090151197e-08,7,1
"NR4A2",6.00212057861514,2.01548762870666,1.17207938915939e-11,2.33947046076214e-08,8,1
"CCN1",12.3028725682363,0.552101371787932,1.33142919191732e-11,2.36225125961509e-08,9,1
"CCN2",12.7753106972297,0.412980889127745,5.35673448837326e-11,8.55363363103442e-08,10,1
"RCAN1",9.2499581782978,0.599138414518599,8.62623768162721e-11,1.25221603000203e-07,11,1
"AMOTL2",12.1220102492174,0.486315842842512,1.23334742967538e-10,1.64117431308804e-07,12,1
"DUSP1",8.47753303404598,0.635392753085481,2.47046272024799e-09,2.92321993613647e-06,13,1
"IRS2",8.81225157574542,0.54654591058228,2.56294333078097e-09,2.92321993613647e-06,14,1
"KCNJ2",7.66599585590894,0.663617990175814,3.32648510479297e-09,3.54115427688894e-06,15,1
"TNFAIP3",8.80978629212551,0.643419221158041,5.33029858475738e-09,5.31963798758787e-06,16,1
"RND3",12.8947477978415,0.30645991338184,5.83299094419022e-09,5.47889408216644e-06,17,1
"SLC20A1",13.1481681965214,-0.321649398377593,6.18331604757617e-09,5.48528836931646e-06,18,1
"CYP26B1",8.74199361849921,-0.54782438928096,9.82822921974321e-09,7.90079644426628e-06,19,1
"FOSB",8.53255774480964,0.787379796185103,9.89578712959203e-09,7.90079644426628e-06,20,1
"IL1B",6.85511964848772,0.84347268979089,1.27328081000786e-08,9.68178474962166e-06,21,1
"KLF5",7.75927803697751,0.693978991526397,1.59120024733833e-08,1.13549269886479e-05,22,1
"FGF7",10.2784954816464,0.324083072099848,1.63554183829472e-08,1.13549269886479e-05,23,1
"ZNF217",9.3243121008595,0.348606868633357,2.29809306070674e-08,1.52899791639022e-05,24,1
"CXCL1",8.40254320509164,1.24439170205236,2.40512486451268e-08,1.53620135346154e-05,25,1
"SLC2A3",9.88721697184004,0.265818490973361,3.28503761885043e-08,2.01751848837706e-05,26,1
"PNRC1",8.28613570892954,0.527543912951169,3.65351404027721e-08,2.16071526648691e-05,27,1
"INHBA",11.7886280404248,0.359191824180396,5.10979520616714e-08,2.91404320900275e-05,28,1
"REL",7.93105131770211,0.519689258541921,5.84322978201621e-08,3.21740321238741e-05,29,1
"IL11",8.40847910632548,0.507075740567069,6.61592333492821e-08,3.52143546040446e-05,30,1
"LIF",11.1541043625291,0.337454427355857,7.84985619331947e-08,4.04343560306211e-05,31,1
"DKK1",8.77576574682572,0.415523573515417,8.25514516042218e-08,4.11931743505067e-05,32,1
"ABL2",9.37531036137678,0.2760131265646,1.51191819760426e-07,7.3158514482863e-05,33,1
"PCDH18",11.2847858116892,0.281677367268601,2.2064974256213e-07,0.000103627502624473,34,1
"BCL6",8.2893592466415,0.569134770295845,3.28025057236754e-07,0.0001496544032559,35,1
"ZNF281",9.86811787138868,0.215254452216717,3.99446456302459e-07,0.000177176694839935,36,1
"LATS2",10.1214233749787,0.253266350138231,4.10698121989619e-07,0.000177243989511628,37,1
"PLK2",8.18914209245465,0.529425907681135,4.94348808701636e-07,0.000207730573088098,38,1
"ERRFI1",10.3589995409167,0.251695489158493,7.27146723267817e-07,0.000289230999037174,39,1
"PFKFB3",10.4681792100479,-0.289517862356398,7.41555696649918e-07,0.000289230999037174,40,1
"CBLB",9.80902022831148,0.287143468155815,7.42639714461681e-07,0.000289230999037174,41,1
