"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"DermalPapilla","DermalPapilla","COL1A1","ITGA1_ITGB1",0.0224899838033285,7207.3,0.0268173714069038,10820,0.871607838445128,5156,0.510307031606987,7360,0.936263501388333,1347,0,11353.5,0.0318071688929639,0
"DermalPapilla","DermalPapilla","COL1A1","SDC1",0.0224899838033285,6041.3,0.0675657893780787,3606,0.982553275612873,3905,0.510154440547095,7366,0.904777334150026,3976,0,11353.5,0.0113629475097892,0
"DermalPapilla","DermalPapilla","COL1A2","CD44",0.227531460426015,12446.7,0.0156796626499709,16945,0.385850711344958,15220,0.143506755692594,18036,0.946300835353818,679,0,11353.5,0.0889892878865669,0
"DermalPapilla","DermalPapilla","COL1A2","ITGA1_ITGB1",0.0224899838033285,5599.3,0.0306304968610597,9406,1.06422841584314,3191,0.825365590498853,3379,0.946524036429909,667,0,11353.5,0.0462712588357823,0
"DermalPapilla","DermalPapilla","COL1A2","SDC1",0.0023983468833275,4540.3,0.0771728767916259,2923,1.17517385301089,2373,0.825212999438962,3382,0.919671745331675,2670,0,11353.5,0.016690435657178,0
"DermalPapilla","DermalPapilla","COL21A1","ITGA1_ITGB1",0.0224899838033285,6655.1,0.0411561231314218,6866,1.05952929619362,3230,0.654789468360864,5244,0.880748265464846,6582,0,11353.5,0.00324957280551589,0
"DermalPapilla","DermalPapilla","COL3A1","DDR2",0.000894811884435111,3319.7,0.0760154978544617,3004,1.58485543713266,887,1.57423136697951,555,0.944196358405534,799,0,11353.5,0.0694072106782821,0
"DermalPapilla","DermalPapilla","COL3A1","ITGA1_ITGB1",0.0073333212812285,4492.9,0.0376280074763568,7625,1.27919305175415,1814,1.26401635276165,1111,0.948270591649922,561,0,11353.5,0.0505991883601456,0
"DermalPapilla","DermalPapilla","COL4A1","CD44",0.0986536116856019,9817.9,0.0179840510201091,15260,0.713063018404535,7516,0.289189194359493,12731,0.924803340122117,2229,0,11353.5,0.0424565082827442,0
"DermalPapilla","DermalPapilla","COL4A1","CD47",0.0314235233338745,7640.5,0.023742121585153,12139,0.966804448619873,4079,0.73257717878996,4292,0.882845556505269,6339,0,11353.5,0.00764567256150701,0
"DermalPapilla","DermalPapilla","COL4A1","ITGA1_ITGB1",0.0141385792657629,5079.3,0.0351321600864678,8171,1.39144072290272,1399,0.971048029165751,2274,0.925108824130827,2199,0,11353.5,0.021547539785929,0
